brands_tag,brands,sample_codes,count,row_number
carrefour,Carrefour,"[5400101183223, 3560070957293, 8431876264814, 5400101211575, 3560071179410, 3560071182229, 3245414121997, 3560070838844, 3560071193140, 3511243282605, 2270196450844, 5400101025806, 3184830034507, 3184830034897, 3184830066492, 3245411823139, 3245413167064, 3270190171041, 3270190205524, 3270190207757]",18682,1
bonarea,Bonarea,"[8413585018131, 8413585022954, 8413585024392, 8413585020417, 8413585020875, 8413585019732, 8413585023623, 8413585017035, 8413585020943, 8413585000228, 8413585012535, 8413585016861, 03668340, 8413585024385, 8413585015932, 8413585016786, 8413585016908, 8413585029533, 8413585031567, 03402225]",11337,1
coop,Coop,"[8001120941329, 7340011402169, 5000128072915, 7640110721803, 7613356701427, 8001120993946, 7613356494893, 5000128940467, 5000128589925, 7613356490154, 7613413141258, 80255444, 2109515008001, 2435927005650, 7610800009634, 7610800690634, 7610818965366, 7610818961399, 7610827701047, 7611654472476]",11269,1
lidl,Lidl,"[20055400, 20806460, 20086831, 4056489012559, 20879204, 3330720503992, 20437855, 20324957, 20936327, 20803377, 2000000090225, 20167677, 20797126, 20589592, 2209620004568, 13083304, 2211514010005, 40874197, 20976354, 20180447]",10975,1
auchan,Auchan,"[3596710464685, 3596710464456, 3596710462995, 8410813217304, 5999086414076, 3596710468928, 3596710458899, 8410285190273, 3596710469314, 8422241807606, 3596710456154, 3596710462988, 3596710468003, 3596710469352, 3596710464807, 8480011000022, 3596710445301, 3596710467693, 3596710462254, 3596710463183]",9916,1
hacendado,Hacendado,"[8480000635952, 8480000133168, 8480000274175, 8480000682789, 8480000637918, 8480000827814, 8480000360373, 8410297159992, 8480000363121, 8480000101365, 8480000516251, 8480000187277, 8480000244079, 87378252, 8480000360014, 8480000050250, 8425514214583, 8480000284976, 8480000341082, 8480000634009]",9210,1
tesco,Tesco,"[5057373842800, 5052909163756, 5053526262907, 5057008101180, 5052003596689, 5018374066428, 5051622748059, 5057753492915, 5054268077064, 5057545878156, 5012035951450, 5995805018525, 5051898958077, 0280660000000, 0289070000000, 5057545889619, 5057545918814, 5050179876512, 5031021375476, 5018374335289]",8627,1
delhaize,Delhaize,"[5400111030937, 5400111042510, 5400113554684, 5400112850770, 5400113567813, 5400112192115, 5400112439661, 5400113404545, 5400119519915, 5400111030968, 2253640002431, 5400112185353, 5400112148907, 5400111103006, 5400113514329, 5400119522151, 5400119012805, 5400113027089, 5400111273785, 5400112203002]",8593,1
u,U,"[3256223377697, 3256223446867, 3256226397258, 3256226398101, 3368952505613, 3368953733183, 3256221949582, 2000000144856, 3368952495303, 94149388, 2000000195049, 2000000271088, 3256227101960, 3256220504997, 2871724017845, 3256227206443, 3256223377949, 3256227102028, 3256227086328, 3256227094767]",8163,1
aldi,Aldi,"[26053196, 25297546, 26077826, 4061458022453, 25140019, 0041498186869, 4099100027716, 4099100095326, 4099200401188, 26331430, 0041498266332, 25171990, 4088600112831, 25088939, 24047807, 4088600019307, 4088600166223, 4088600137001, 4088600086392, 4088700009185]",7920,1
